Date,Open,High,Low,Close,Adj Close,Volume
2020-05-22,117.989998,118.059998,117.120003,117.559998,117.559998,131800
2020-05-26,123.050003,124.360001,122.709999,124.110001,124.110001,378700
2020-05-27,126.410004,126.970001,124.839996,126.809998,126.809998,330200
2020-05-28,129.190002,129.320007,128.110001,128.360001,128.360001,341700
2020-05-29,125.940002,126.250000,124.709999,126.010002,126.010002,269100
2020-06-01,124.900002,126.839996,124.750000,126.449997,126.449997,233500
2020-06-02,126.389999,127.120003,125.949997,126.480003,126.480003,237900
2020-06-03,128.050003,129.250000,127.580002,128.729996,128.729996,237000
2020-06-04,127.510002,129.080002,127.510002,128.160004,128.160004,196900
2020-06-05,130.119995,132.000000,130.119995,131.100006,131.100006,238900
2020-06-08,131.860001,132.130005,130.789993,132.070007,132.070007,189500
2020-06-09,130.000000,131.089996,129.619995,130.589996,130.589996,195800
2020-06-10,131.149994,131.809998,130.429993,131.009995,131.009995,158400
2020-06-11,127.379997,127.889999,123.830002,124.440002,124.440002,266800
2020-06-12,128.149994,128.360001,126.489998,127.820000,127.820000,241600
2020-06-15,126.169998,128.220001,125.250000,127.400002,127.400002,188000
2020-06-16,130.699997,131.270004,128.559998,129.600006,129.600006,169000
2020-06-17,129.679993,129.990005,128.839996,128.880005,128.880005,157300
2020-06-18,128.880005,129.119995,128.479996,129.119995,129.119995,114200
2020-06-19,129.000000,129.089996,127.500000,127.790001,127.790001,138800
2020-06-22,127.930000,128.330002,127.180000,128.130005,128.130005,124600
2020-06-23,130.169998,130.309998,128.970001,129.089996,129.089996,244800
2020-06-24,129.399994,129.419998,127.000000,127.800003,127.800003,433600
2020-06-25,126.449997,127.800003,126.010002,127.769997,127.769997,192000
2020-06-26,127.910004,127.910004,125.900002,126.160004,126.160004,229700
2020-06-29,126.470001,127.000000,125.930000,126.889999,126.889999,242500
2020-06-30,125.510002,126.120003,124.870003,125.629997,125.629997,222100
2020-07-01,124.760002,125.040001,124.029999,124.139999,124.139999,255100
2020-07-02,127.199997,127.529999,126.139999,126.389999,126.389999,326500
2020-07-06,127.160004,127.400002,126.330002,126.980003,126.980003,285700
2020-07-07,126.010002,126.440002,124.959999,124.959999,124.959999,184200
2020-07-08,125.489998,125.489998,124.669998,125.410004,125.410004,179700
2020-07-09,125.070000,125.070000,122.900002,123.830002,123.830002,168200
2020-07-10,123.949997,125.050003,123.570000,124.970001,124.970001,198700
2020-07-13,126.660004,126.660004,124.820000,125.050003,125.050003,218200
2020-07-14,125.150002,126.629997,125.150002,126.430000,126.430000,191900
2020-07-15,127.820000,128.149994,126.930000,127.330002,127.330002,201500
2020-07-16,127.260002,127.260002,126.080002,126.489998,126.489998,212400
2020-07-17,127.080002,127.330002,126.540001,127.059998,127.059998,137000
2020-07-20,127.180000,127.639999,126.919998,127.279999,127.279999,145600
2020-07-21,127.230003,127.339996,126.169998,126.269997,126.269997,153000
2020-07-22,125.760002,126.389999,125.489998,126.260002,126.260002,104800
2020-07-23,125.970001,126.949997,125.699997,125.860001,125.860001,138800
2020-07-24,125.370003,126.150002,125.050003,125.209999,125.209999,124000
2020-07-27,126.839996,128.050003,126.620003,127.570000,127.570000,149600
2020-07-28,126.000000,126.019997,125.220001,125.459999,125.459999,161800
2020-07-29,123.379997,124.199997,123.050003,123.989998,123.989998,224800
2020-07-30,122.000000,122.660004,121.209999,122.459999,122.459999,186100
2020-07-31,120.000000,120.220001,118.660004,119.339996,119.339996,271900
2020-08-03,119.620003,121.129997,119.510002,120.940002,120.940002,240700
2020-08-04,122.930000,123.550003,122.220001,122.910004,122.910004,162400
2020-08-05,125.669998,125.830002,124.559998,124.820000,124.820000,172600
2020-08-06,128.580002,129.500000,127.599998,128.339996,128.339996,248000
2020-08-07,130.000000,130.000000,129.210007,129.960007,129.960007,214900
2020-08-10,130.000000,130.639999,129.960007,130.570007,130.570007,174000
2020-08-11,135.000000,135.169998,133.559998,133.750000,133.750000,287700
2020-08-12,136.869995,136.910004,136.160004,136.440002,136.440002,251600
2020-08-13,136.250000,136.339996,135.279999,135.639999,135.639999,158100
2020-08-14,133.669998,134.490005,133.600006,134.220001,134.220001,110700
2020-08-17,134.949997,135.559998,134.570007,135.529999,135.529999,158800
2020-08-18,136.220001,136.580002,135.869995,136.080002,136.080002,121200
2020-08-19,136.229996,136.500000,135.139999,135.210007,135.210007,111900
2020-08-20,133.729996,134.250000,133.600006,134.089996,134.089996,118000
2020-08-21,133.220001,133.910004,133.110001,133.830002,133.830002,122600
2020-08-24,134.649994,135.449997,134.369995,134.759995,134.759995,154300
2020-08-25,135.000000,135.199997,134.139999,134.789993,134.789993,126800
2020-08-26,134.399994,135.070007,133.990005,134.889999,134.889999,138300
2020-08-27,134.169998,134.229996,133.169998,133.559998,133.559998,165000
2020-08-28,134.029999,134.289993,133.570007,133.919998,133.919998,100300
2020-08-31,133.119995,133.119995,131.779999,132.429993,132.429993,183300
2020-09-01,131.800003,132.460007,131.089996,132.300003,132.300003,143900
2020-09-02,131.690002,132.619995,131.570007,132.520004,132.520004,123000
2020-09-03,131.619995,131.949997,129.589996,129.949997,129.949997,173300
2020-09-04,133.000000,133.750000,130.929993,133.169998,133.169998,203000
2020-09-08,131.000000,132.100006,130.600006,131.229996,131.229996,227300
2020-09-09,130.320007,131.470001,130.320007,131.130005,131.130005,179900
2020-09-10,130.460007,131.350006,130.050003,130.179993,130.179993,133700
2020-09-11,131.130005,131.600006,130.539993,131.339996,131.339996,155800
2020-09-14,133.899994,134.350006,133.429993,133.770004,133.770004,193000
2020-09-15,134.479996,134.779999,133.910004,134.029999,134.029999,100900
2020-09-16,134.550003,134.759995,134.009995,134.029999,134.029999,125800
2020-09-17,133.800003,135.419998,133.559998,135.000000,135.000000,132400
2020-09-18,134.479996,135.309998,134.250000,134.250000,134.250000,128000
2020-09-21,132.300003,132.300003,130.210007,131.220001,131.220001,306300
2020-09-22,131.410004,132.300003,131.169998,132.250000,132.250000,144600
2020-09-23,134.520004,135.160004,133.190002,133.289993,133.289993,199100
2020-09-24,131.380005,132.690002,130.910004,131.850006,131.850006,199500
2020-09-25,132.600006,133.119995,132.000000,132.970001,132.970001,189300
2020-09-28,135.039993,136.309998,135.039993,136.009995,136.009995,219000
2020-09-29,135.070007,135.750000,134.190002,134.250000,134.250000,136500
2020-09-30,132.649994,133.259995,132.119995,132.440002,132.440002,155900
2020-10-01,132.630005,132.830002,132.020004,132.429993,132.429993,130800
2020-10-02,130.979996,132.130005,130.880005,131.729996,131.729996,98800
2020-10-05,131.479996,132.179993,131.250000,132.100006,132.100006,236200
2020-10-06,131.929993,132.630005,131.160004,131.259995,131.259995,256600
2020-10-07,132.679993,132.679993,132.009995,132.429993,132.429993,115900
2020-10-08,132.929993,133.139999,132.470001,132.949997,132.949997,99300
2020-10-09,132.220001,132.360001,131.970001,132.080002,132.080002,107800
2020-10-12,132.000000,132.220001,131.619995,131.800003,131.800003,144400
2020-10-13,132.839996,133.130005,132.419998,132.649994,132.649994,104600
2020-10-14,131.639999,131.970001,131.309998,131.529999,131.529999,105100
2020-10-15,130.639999,131.220001,130.380005,131.169998,131.169998,123000
2020-10-16,130.649994,131.710007,130.589996,130.639999,130.639999,144400
2020-10-19,131.789993,131.789993,130.619995,130.880005,130.880005,106800
2020-10-20,130.880005,131.779999,130.660004,131.309998,131.309998,138300
2020-10-21,133.000000,133.789993,132.860001,133.139999,133.139999,162900
2020-10-22,133.389999,133.559998,132.649994,133.419998,133.419998,70800
2020-10-23,133.820007,133.820007,132.800003,133.279999,133.279999,59900
2020-10-26,133.119995,133.360001,132.360001,132.850006,132.850006,142000
2020-10-27,133.039993,133.039993,132.259995,132.460007,132.460007,144800
2020-10-28,131.130005,131.210007,129.279999,130.070007,130.070007,229500
2020-10-29,131.929993,132.350006,130.410004,131.350006,131.350006,140600
2020-10-30,130.880005,131.520004,130.539993,131.289993,131.289993,116000
2020-11-02,133.059998,133.649994,132.660004,133.240005,133.240005,146200
2020-11-03,134.460007,136.820007,134.460007,135.869995,135.869995,147600
2020-11-04,134.729996,134.910004,134.009995,134.160004,134.160004,185100
2020-11-05,135.860001,137.399994,135.550003,137.070007,137.070007,155900
2020-11-06,136.699997,138.199997,136.110001,137.199997,137.199997,165100
2020-11-09,140.300003,141.710007,139.639999,139.639999,139.639999,245600
2020-11-10,139.699997,141.479996,139.639999,139.940002,139.940002,217800
2020-11-11,142.710007,143.320007,142.119995,142.479996,142.479996,176000
2020-11-12,141.330002,141.330002,139.600006,139.690002,139.690002,99500
2020-11-13,140.289993,141.850006,140.139999,141.619995,141.619995,136200
2020-11-16,143.389999,144.649994,143.369995,144.110001,144.110001,130200
2020-11-17,142.820007,143.479996,142.059998,142.740005,142.740005,150100
2020-11-18,141.850006,143.160004,141.270004,141.830002,141.830002,228600
2020-11-19,140.699997,141.080002,140.130005,140.919998,140.919998,140000
2020-11-20,142.300003,143.039993,142.070007,142.130005,142.130005,113000
2020-11-23,143.750000,143.960007,143.220001,143.259995,143.259995,238000
2020-11-24,143.899994,144.529999,143.179993,143.839996,143.839996,188300
2020-11-25,140.970001,141.539993,140.029999,141.309998,141.309998,231400
2020-11-27,140.100006,141.160004,140.039993,140.160004,140.160004,77300
2020-11-30,135.919998,138.500000,134.449997,134.460007,134.460007,355200
2020-12-01,135.600006,136.460007,135.179993,136.139999,136.139999,289200
2020-12-02,136.050003,136.710007,135.770004,136.339996,136.339996,197900
2020-12-03,137.770004,138.160004,136.750000,136.850006,136.850006,171500
2020-12-04,137.899994,138.850006,137.750000,138.279999,138.279999,137800
2020-12-07,138.600006,138.820007,137.699997,138.149994,138.149994,150100
2020-12-08,138.320007,138.979996,138.100006,138.740005,138.740005,130700
