Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,73.949997,81.000000,72.900002,75.199997,75.199997,51421860
2021-03-30,75.949997,77.900002,69.650002,70.849998,70.849998,11091947
2021-03-31,71.750000,71.750000,67.650002,68.099998,68.099998,4659613
2021-04-01,68.599998,72.750000,68.199997,71.400002,71.400002,7403570
2021-04-05,71.500000,71.500000,68.550003,69.900002,69.900002,2399032
2021-04-06,70.300003,71.250000,69.099998,70.349998,70.349998,2379469
2021-04-07,70.550003,70.900002,69.800003,69.900002,69.900002,1625067
2021-04-08,71.900002,75.000000,71.400002,72.849998,72.849998,4824848
2021-04-09,73.000000,73.099998,70.449997,71.000000,71.000000,2357516
2021-04-12,70.900002,70.900002,68.000000,68.349998,68.349998,2042113
2021-04-13,69.000000,69.849998,68.050003,69.300003,69.300003,1439847
2021-04-15,69.000000,69.849998,68.550003,69.000000,69.000000,896321
2021-04-16,69.000000,69.699997,68.800003,68.900002,68.900002,909629
2021-04-19,67.800003,67.800003,65.699997,66.849998,66.849998,1228866
2021-04-20,67.199997,68.349998,66.800003,67.150002,67.150002,797720
2021-04-22,67.000000,67.150002,66.400002,66.699997,66.699997,851612
2021-04-23,66.599998,66.699997,65.500000,65.599998,65.599998,1823091
2021-04-26,65.900002,67.000000,63.750000,63.849998,63.849998,2193105
2021-04-27,64.000000,64.800003,61.200001,61.400002,61.400002,3532919
2021-04-28,61.549999,62.900002,60.599998,61.650002,61.650002,4057145
2021-04-29,62.000000,62.849998,61.099998,61.250000,61.250000,1938409
2021-04-30,61.000000,61.200001,59.750000,59.900002,59.900002,2347572
2021-05-03,59.700001,59.700001,58.549999,58.650002,58.650002,1696511
2021-05-04,58.650002,60.700001,58.099998,58.250000,58.250000,2298017
2021-05-05,58.500000,59.500000,58.000000,58.099998,58.099998,1580604
2021-05-06,58.450001,58.799999,56.599998,56.700001,56.700001,2238052
2021-05-07,57.000000,59.650002,56.299999,58.799999,58.799999,4763134
2021-05-10,59.400002,62.000000,59.200001,61.500000,61.500000,3883522
2021-05-11,61.500000,64.900002,61.000000,63.599998,63.599998,4982475
2021-05-12,64.449997,64.900002,61.799999,62.349998,62.349998,2592651
2021-05-14,63.000000,63.950001,60.200001,60.799999,60.799999,2581690
2021-05-17,61.200001,61.700001,60.299999,60.750000,60.750000,1084150
2021-05-18,60.750000,61.450001,60.750000,61.250000,61.250000,1192298
2021-05-19,61.250000,61.599998,60.849998,61.200001,61.200001,1122948
2021-05-20,61.700001,61.900002,59.799999,60.099998,60.099998,2434240
2021-05-21,61.099998,64.000000,59.849998,61.900002,61.900002,6130052
